Title,Cost,Author,Description,Skill
Breathing Water,60,Haliel Myrm,Lessons on water breathing,1
"Brief History of the Empire, v1",2,Stronach k'Thojj III,Part 1 of a description of events in the history of the Empire,0
"Brief History of the Empire, v2",2,Stronach k'Thojj III,Part 2 of a description of events in the history of the Empire,0
"Brief History of the Empire, v3",2,Stronach k'Thojj III,Part 3 of a description of events in the history of the Empire,0
"Brief History of the Empire, v4",2,Stronach k'Thojj III,Part 4 of a description of events in the history of the Empire,0
Brothers of Darkness,30,Pellarne Assi,A brief history of the Dark Brotherhood,0
Butcher Journal #1,5,The Butcher,A serial killer's journal entries on stalking a victim,0
Butcher Journal #2,5,The Butcher,A serial killer's translation on flesh magic,0
Butcher Journal,5,Calixto Corrium,A journal revealing the ghoulish motivation behind killings in Windhelm,0
The Buying Game,60,Adabael Timsar-Dadisun,Tips on buying and selling,1
The Cabin in the Woods,8,Mogen Son of Molag,A tale of a soldier and a sobbing ghost,0
The Cake and The Diamond,5,Athyn Muendil,An alchemist tricks a thief!,0
Catalogue of Armor Enchantments,50,"Yvonne Bienne, Synod researcher",An incomplete list of all the spells and armor used in enchanting,1
Catalogue of Weapon Enchantments,50,"Yvonne Bienne, Synod researcher",An incomplete list of all the spells and weapons used in enchanting,1
Cats of Skyrim,7,Aldetuile,A brief treatise on the few felines that can be found in Skyrim,0
Chance's Folly,6,Zylmoc Golge,The folly of a double-crosser,0
Changed Ones,11,,Story of how Boethiah refuted Trinimac,0
"Charwich-Koniinge Letters, v1",13,Charwich,Letter sent from Charwich to Koniinge about their search for Azura's Star,0
"Charwich-Koniinge Letters, v3",13,Charwich,Letter sent from Charwich to Koniinge about their search for Azura's Star,0
"Charwich-Koniinge Letters, v4",20,Syrix Goinithi,Letter sent between Charwich and Koniinge about their search for Azura's Star,0
"Charwich-Koniinge, v2",13,Koniinge,Letter sent from Koniinge to Charwich about their search for Azura's Star,0
Chaurus Pie: A Recipe,11,Nils,A recipe for a pie from chaurus meat,0
Cherim's Heart,70,"Livillus Perus, Professor at the Imperial University","Interview with Cherim, a master tapestry weaver",1
Children of the Sky,25,,A description of the Nords and the Thu'um,0
A Children's Anuad,6,,Early religious book providing a simplified version of The Anuad creation myth from the Mythic Era,0
Children of the All-Maker,11,Tharstan of Solitude,An outsider's accounting of the Skaal,0
Chimarvamidium,"70 (skill book)
20 (ordinary book)",Marobar Sul,Book 6 of a series of fictional stories about the Dwemer,1
Chronicles of Nchuleft,30,An Anonymous Altmer,A historical chronicle of events in the Dwemer Freehold Colony of Nchuleft,0
Cicero's Journal - Final Volume,100,Cicero,The personal chronicle of a Dark Brotherhood assassin,0
Cicero's Journal - Volume 1,25,Cicero,The personal chronicle of a Dark Brotherhood assassin,0
Cicero's Journal - Volume 2,25,Cicero,The personal chronicle of a Dark Brotherhood assassin,0
Cicero's Journal - Volume 3,25,Cicero,The personal chronicle of a Dark Brotherhood assassin,0
Cicero's Journal - Volume 4,25,Cicero,The personal chronicle of a Dark Brotherhood assassin,0
The City of Stone,4,Amanda Alleia,A mercenary's guide to Markarth,0
Cleansing of the Fane,20,,Fragmented script from a member of the Alessian Order,0
The Code of Malacath,2,"Amanda Alleia, Mercenary",A description of life in an average Orc Stronghold,0
Confessions of a Dunmer Skooma Eater,3,Tilse Sendas,A narrative of a cured skooma addict,0
Confessions Of A Khajiit Fur Trader,11,The Fur Trader,A Khajiit's memoir of the black market fur trade,0
Cook's Journal,5,an Unknown Bandit Cook,The journal of a cook that took the phrase dog-eat-dog world a little too literally,0
"A Dance in Fire, v1",3,Waughin Jarth,Chapter 1 of a clerk's adventures in Valenwood,0
"A Dance in Fire, v2",50,Waughin Jarth,Chapter 2 of a clerk's adventures in Valenwood,1
"A Dance in Fire, v3",3,Waughin Jarth,Chapter 3 of a clerk's adventures in Valenwood,0
"A Dance in Fire, v4",4,Waughin Jarth,Chapter 4 of a clerk's adventures in Valenwood,0
"A Dance in Fire, v5",30,Waughin Jarth,Chapter 5 of a clerk's adventures in Valenwood,0
"A Dance in Fire, v6",60,Waughin Jarth,Chapter 6 of a clerk's adventures in Valenwood,1
"A Dance in Fire, v7",60,Waughin Jarth,Chapter 7 of a clerk's adventures in Valenwood,1
Darkest Darkness,5,,A description of various Daedra,0
Daughter of the Niben,60,Sathyr Longleat,The history of Bravil and its famous statue of the Lucky Old Lady,1
Daynas Valen's Journal,5,Daynas Valen,Details Valen's efforts to hunt down the Gauldur Legend,0
Daynas Valen's Notes,5,Daynas Valen,A summary of research of the Gauldur Legend,0
De Rerum Dirennis,55,Vorian Direnni,Tales about a creator of Alchemy Science,1
Death Blow of Abernanit,50,Anonymous (with notes by Geocrates Varnus),The death of Dagoth Thras,1
Death of a Wanderer,12,Anonymous,A tale of an Argonian's unfortunate venture into a Draugr crypt,0
Deathbrand,20,,The tale of a legendary pirate and his treasure,0
Decree of Monument,5,,A plaque commemorating the struggles of those who fled Morrowind following the Red Year,0
Diary of Faire Agarwen,20,Faire Agarwen,The ancient diary of a Snow Elf lamenting the extermination of their race,0
"Discovering Ruunvald, Vol. I",5,Moric Sidrey,,0
"Discovering Ruunvald, Vol. II",5,Moric Sidrey,,0
"Discovering Ruunvald, Vol. III",5,Moric Sidrey,,0
"Discovering Ruunvald, Vol. IV",5,Moric Sidrey,,0
The Doors of the Spirit,5,,Mantra of the Dunmer spirits,0
The Doors of Oblivion,50,Seif-ij Hidja,"The chronicles of Morian Zenas' journey through the realms of Oblivion, penned by his apprentice",1
The Dowry,11,Marobar Sul,Book 10 of a series of fictional stories about the Dwemer,0
The Dragon Break,14,Fal Droon,Explanation of a historical error of timing,0
Dragon Language: Myth no More,14,Hela Thrice-Versed,A lengthy thesis on the ancient language of the dragons,0
The Dragon War,12,Torhal Bjorik,A religious text describing the primordial war between men and dragons,0
A Dream of Sovngarde,8,Skardan Free-Winter,A Nord soldier's account of his dream before the Battle of the Red Ring,0
The Dreamstride,5,The Mysterious Alchemists of Vaermina,A description of the nature and effect of Vaermina's Torpor,0
Dunmer of Skyrim,7,Athal Sarys,A proclamation of Dunmer supremacy in eastern Skyrim,0
"Dwarves, v1",10,"Calcelmo, Scholar of Markarth",A scholarly work on the architecture and metallurgy of Dwemer,0
"Dwarves, v2",10,"Calcelmo, Scholar of Markarth",A scholarly work on the war equipment and machinery of Dwemer,0
"Dwarves, v3",10,"Calcelmo, Scholar of Markarth",A scholarly work on the culture and history of Dwemer,0
Dwemer History and Culture,13,Hasphat Antabolis,A scholar's review of the Dwemer essays written by Marobar Sul,0
Dwemer Inquiries Vol I,6,"Thelwe Ghelein, Scholar",Part of a series of scholarly essays on the elusive Dwemer,0
Dwemer Inquiries Vol II,6,"Thelwe Ghelein, Scholar",Part of a series of scholarly essays on the elusive Dwemer,0
Dwemer Inquiries Vol III,6,"Thelwe Ghelein, Scholar",Part of a series of scholarly essays on the elusive Dwemer,0
Effects of the Elder Scrolls,25,Justinius Poluhnius,A thesis on the four different types of readers of the Elder Scrolls,0
Eisa's Journal,5,Eisa Blackthorn,The journal of a bandit,0
Enchanter's Primer,50,Sergius Turrianus,A guide for novices in enchanting issued by the College of Winterhold,1
Endrast's Journal,5,Endrast,A journal detailing Endrast's escape from Falmer in Alftand,0
Erj's Notes,5,Erj,Notes revealing an expedition team member's selfish intents,0
The Exodus,55,Waughin Jarth,The tale of a couple's desperate bid to save their only child,1
Expedition Manifest,5,Sulla Trebatius,A basic run-down of the Alftand Expedition Camp and its occupants,0
An Explorer's Guide to Skyrim,8,"Marcius Carvain, Viscount Bruma",A brief travel guide for adventuresome tourists in Skyrim,0
Eydis's Journal,25,Eydis,,0
Faded Diary,5,,The diary of a refugee from Morrowind who never found safety,0
Fall from Glory,8,Nithilis Lidari,Theories on the weakening of the Skyrim Thieves Guild,0
Fall of the Snow Prince,11,Lokheim,"An account of the Battle of the Moesring as transcribed by Lokheim, chronicler to the chieftain Ingjaldr White-Eye",0
The Falmer: A Study,11,Ursa Uthrax,"A study on Falmer, recounting their war with the Dwemer",0
Father Of The Niben,65,Florin Jaliil,Translation of the fragmented journal of Topal the Pilot,1
Feyfolken I,12,Waughin Jarth,"The Great Sage tells Volume 1 of a story of Artaeum, Psijics, and Robotic Enchanters",0
Feyfolken II,12,Waughin Jarth,"The Great Sage tells Volume 2 of a story of Artaeum, Psijics, and Robotic Enchanters",0
Feyfolken III,12,Waughin Jarth,"The Great Sage tells Volume 3 of a story of Artaeum, Psijics, and Robotic Enchanters",0
Final Lesson,14,Aegrothius Goth,Two apprentices are separated,0
Fire and Darkness,50,Ynir Gorming,The history of the Morag Tong assassin guild,1
The Firmament,5,Ffoulke,A book of constellations and their meanings,0
The Firsthold Revolt,7,Maveus Cie,The story of how Hlaalu Helseth's sister kept the Summerset Isle city of Firsthold,0
Fisherman's Journal,5,Advard,,0
Fisherman's Journal,5,,A fisherman writes about superstitions surrounding Lake Ilinalta,0
Five Songs of King Wulfharth,30,,"A summary of five epic songs of the Ash King, plus an apocryphal song of the Tribunal, Dagoth-Ur and Nerevar",0
The Five Far Stars,7,Zershishi Mus-Manul,Ashlander poetry,0
Flight from the Thalmor,13,Hadrik Oaken-Heart,A written epitaph of a Nordic skald,0
"Forge, Hammer and Anvil",14,Adolphus Eritius,Poorly-written notes on smithing by a Nordic blacksmith in the late Second Era,0
The Four Totems of Volskygge,5,,A logic puzzle holding the secret to opening a barred gate,0
Fragment: On Artaeum,20 / 5,Taurce il-Anselma,A work explaining some of the history of the Psijic island of Artaeum,0
"Frontier, Conquest",5,"University of Gwylim Press, 3E 344",Details the presence of humans in Tamriel before the original Nordic conquests thought to bring humans to Tamriel,0
Galerion The Mystic,6,Asgrim Kolsgreg,"A biography of Galerion, a Psijic who founded the Mages Guild",0
Gallus's Encoded Journal,5,Gallus Desidenius,The secret encrypted journal of one of the Nightingales,0
A Game at Dinner,55,An Anonymous Spy,A spy's observations upon poison making and a dinner party,1
A Gentleman's Guide to Whiterun,3,Mikael the Bard,A bard's description of life in the city of Whiterun,0
Ghosts in the Storm,13,Adonato Leotelli,Author's tale of his encounter with the Falmer,0
Glories and Laments,25,Alexandre Hetrard,"The ""glories"" of the Ayleid city Ceyatatar and ""laments"" over the collapse of the Ayleid civilization",0
Gods and Worship,5,Brother Hetchfield,Speculation concerning the worship of gods and their benefit from such,0
The Gold Ribbon of Merit,65,Ampyrian Brum,A man tutors his old friend in marksmanship,1
Gratian's Journal,125,Gratian Caerellius,A record of a miner's discovery in an ancient Nordic barrow,0
Great Harbingers,13,Swyk the Long-Sighted,Chronicle of some of the leaders of the Companions,0
The Great War,6,Legate Justianus Quintius,A soldier's summation of the major events before and during the Great War,0
The Guardian and the Traitor,20,Lucius Gallus,"A Skaal legend, describing a Dragon Priest's corruption by Herma-Mora",0
Guide to Better Thieving,60,Wulfmare Shadow-Cloak,A boastful thief discusses the tricks of the trade,1
Habd's Journal,5,Habd,A journal detailing Habd's purchase of the Frostflow Lighthouse and the events leading up the massacre of his family by Falmer,0
Hajvarr's Journal,5,Hajvarr Iron-Hand,A journal relaying the White River bandit gang's problems,0
Hallgerd's Tale,70,Tavi Dromio,Squabbling over the greatest warrior ever leads to a tale of heavy-armor-master Hlaalu Pasoroth,1
Hamelyn's Journal,75,Hamelyn,,0
Hanging Gardens,30,,"A travel guide to the Hanging Gardens of Wasten Coridale, written in both Dwemeris and Aldmeris",0
Hargar's Journal,5,Captain Hargar,Events leading up to the wreckage of the Icerunner,0
Harvesting Frostbite Spider Venom,7,,A brief guide to harvesting frostbite spider venom,0
Heavy Armor Forging,70,Sven Two-Hammers,A guide to creating Heavy Armor,1
Heddic's Volunruud Notes,5,Heddic Volunnar,About accessing the tomb of Kvenel the Tongue,0
Herbalist's Guide to Skyrim,55,Agneta Falia,"A description of alchemy ingredients found in Tamriel's northernmost province, Skyrim",1
Herbane's Bestiary: Automatons,14,Herbane,A guide to Dwemer Constructs,0
Herbane's Bestiary: Hagravens,6,Herbane,A guide to Hagravens,0
Herbane's Bestiary: Ice Wraiths,7,Herbane,A guide to Ice Wraiths,0
"History of Raven Rock, Vol. I",7,Lyrin Telleno,The history of Solstheim's mining town,0
"History of Raven Rock, Vol. II",7,Lyrin Telleno,The history of Solstheim's mining town,0
"History of Raven Rock, Vol. III",7,Lyrin Telleno,The history of Solstheim's mining town,0
Holdings of Jarl Gjalund,5,Slafknir the Scribe,An ancient list of settlements within Whiterun Hold,0
The Holds of Skyrim,3,,The official guide of the Imperial Legion to Skyrim and its holds,0
The Hope of the Redoran,5,Turiul Nirith,A tale of a child blessed by a prophecy and the interpretation thereof,0
Horker Attacks,4,Heidmir Starkad,The tale of a horker attack,0
Horror of Castle Xyr,55,Baloth-Kul,A One Act Play,1
The House of Troubles,7,,Chronicle of the Daedra who decided not to submit to the Tribunal,0
Hrodulf's Journal,10,Hrodulf,The journal of a man slowly being driven mad by something in his new house,0
Hunter's Journal,5,,,0
Hunter's Journal,5,,,0
A Hypothetical Treachery,55,Anthil Morvir,A One Act Play,1
Ice and Chitin,50,Pletius Spatec,A tale of the manipulation of chitin armor,1
Ildari's Journal,125,Ildari Sarothril,,0
"Ildari's Journal, vol. I",5,Ildari Sarothril,,0
"Ildari's Journal, vol. II",5,Ildari Sarothril,,0
"Ildari's Journal, vol. III",5,Ildari Sarothril,,0
Immortal Blood,4,Anonymous,Dialogues about fighting with vampires,0
Imperial Missive,0,General Tullius,About the Thalmor imprisonment of a Whiterun citizen,0
Imperial Report on Saarthal,13,Heseph Chirirnis,A report from a Mages Guild Scholar assigned to Imperial Archaeologist Sentius Floronius,0
The Importance of Where,50,Marobar Sul,Book 3 of an incomplete series of fictional stories about the Dwemer,1
Incident at Necrom,60,Jonquilla Bothe,A story about an illusionist,1
Invocation of Azura,20,Sigillah Parate,A work written by a priestess of Azura arguing the superiority of Azura to other Daedra Princes,0
J'zhar's Journal,5,J'zhar,The journal of one of the Khajiiti brothers on an ill-fated expedition,0
Japhet's Journal,5,Japhet,The journal of a man who became consumed by his obsession,0
Jornibret's Last Dance,50,,Song involving men and women's parts,1
Journal,5,Kornalus,About experiments for infusing elemental energy into Frostbite Spiders,0
Journal,5,,A dying man's last thoughts,0
Journal,5,,About a woman's fatal trip to her favorite swimming hole,0
Journal of Drokt,5,Drokt,,0
Journal of Mirtil Angoth,20,Mirtil Angoth,The ancient diary of a Snow Elf and their plan to seek refuge with the Dwemer,0
The Journal of Ralis Sedarys - Volume 19,5,Ralis Sedarys,,0
The Journal of Ralis Sedarys - Volume 20,5,Ralis Sedarys,,0
The Journal of Ralis Sedarys - Volume 21,5,Ralis Sedarys,,0
The Journal of Ralis Sedarys - Volume 22,5,Ralis Sedarys,,0
The Journal of Ralis Sedarys - Volume 23,5,Ralis Sedarys,,0
Karan's Journal,5,Karan,About a girl's ill-fated plan to elope with her Dunmer lover,0
Katria's Journal,15,Katria,Research notes about the location of an ancient Dwemer forge,0
The Keepers of the Razor,5,Silus Vesuius,An account of the separation and division of Mehrunes' Razor into three pieces,0
Killing - Before You're Killed,3,Eduardo Corvus,Tips on effective combat methods,0
King,50,Reven,The final chapter in the adventures of Eslaf Erol,1
King Olaf's Verse,30,,"A lost part of the Poetic Edda, sung during the burning of Olaf's effigy in Solitude",0
"A Kiss, Sweet Mother",6,,A description of the Black Sacrament in order to enlist the Dark Brotherhood,0
The Knights of the Nine,70,Karoline of Solitude,The founding and breakup of the original Knights of the Nine,1
Kodlak's Journal,5,Kodlak Whitemane,The last writings of a Harbinger of the Companions,0
Kolb & the Dragon,2,,A story of a quest to slay a dragon where the reader makes the choices and decides the hero's fate,0
Krag's Journal,5,Krag,Notes on an expedition team's progress into Nchuand-Zel,0
Kyr's Log,5,Kyr,The log of an attempt to turn a crypt into a bandit lair,0
Last King of the Ayleids,25,Herminia Cinna,Chronicles the downfall of the Ayleid Empire in the First Era,0
The Last King of the Ayleids,5,Herminia Cinna,Chronicles the downfall of the Ayleid Empire in the First Era,0
Last Scabbard of Akrash,70,Tabar Vunqidh,Story of a slaver's daughter and her Khajiit lover,1
Legend of Krately House,75,Baloth-Kul,A play about the ghostly Krately family and how they died,1
The Legend of Red Eagle,5,Tredayn Dren,An ancient tale about the invasion of the Reach by the First Empire,0
The Legendary Sancre Tor,50,Matera Chapel,An attempt to chronicle the rise and fall of Sancre Tor,1
The Legendary Scourge,30,,"A short story and poem about Scourge, the mace of Malacath",0
Life of Uriel Septim VII,5,Rufus Hayn,A short biography of Uriel Septim VII's accomplishments,0
Light Armor Forging,70,Revus Sarvani,A book detailing various aspects of forging the various types of light armor,1
Liminal Bridges,50,Camilonwe of Alinor,A Discourse On The Theory and Praxis of Traveling Between Mundus and Oblivion,1
Lives of the Saints,5,Tribunal Temple,Listing and describing prominent saints of the Dunmer,0
The Locked Room,75,Porbert Lyttumly,How a pupil outlocks her cruel lockpick instructor,1
Lost Legends,11,"Talsgar the Elder, Archivist of Winterhold",A collection of less well-known folk tales from Skyrim's past,0
Love Poem,5,Yngvar the Singer,A poem for Markarth's housecarl,0
Lu-ah's Journal,5,Lu'ah Al-Skaven,,0
The Lunar Lorkhan,60,Fal Droon,A theory about the moons Masser and Secunda,1
"The Lusty Argonian Maid, v1",14,Crassius Curio,A short excerpt from Crassius Curio's bawdy play,0
"The Lusty Argonian Maid, v2",14,Crassius Curio,Another short scene from the pen of Vivec City's foremost playwright,0
Lusty Argonian Maid Folio,25,Crassius Curio,,0
Lycanthropic Legends of Skyrim,20,"Lentulus Inventius, Order of the Horn",A recounting of the unwillingness of Skyrim's inhabitants to share stories of Lycanthropy,0
Lymdrenn Tenvanni's Journal,5,Lymdrenn Tenvanni,A father's last words surrounding the fate of House Telvanni,0
Mace Etiquette,50,,A warrior's instruction pamphlet on proper mace tactics,1
"The ""Madmen"" of the Reach",7,"Arrianus Arius, Imperial Scholar",A defense of the Forsworn,0
The Madness of Pelagius,12,Tsathenes,Profiling the renowned Mad Emperor,0
Magic from the Sky,12,Irlav Jarol,"Treatise concerning Ayleid Wells, Welkynd Stones, and Varla Stones",0
Maluril's Journal,5,Maluril Ferano,,0
Malyn Varen's Grimoire,30,"Malyn Varen, Master Enchanter",A proud mage boasts of altering a Daedric artifact,0
"Mannimarco, King of Worms",55,Horicles,"Biography of Mannimarco, the leader of Necromancers, in verse",1
Margret's Journal,5,Margret,An Imperial Legion spy's journal detailing a mission to acquire the Cidhna Mine,0
Markarth Home Decorating Guide,5,,Details on accessory packages available for a Markarth home,0
The Marksmanship Lesson,65,Alla Llaleth,How a Bosmer slave teaches his master's son marksmanship,1
Master Illusion Text,5,,,0
Master Illusion Text,5,,,0
Master Illusion Text,5,,,0
Master Illusion Text,5,,,0
Medresi's Notes,5,Medresi Dran,The Journal of Medresi Dran,0
Merchant's Journal,5,,,0
Merilar's Journal,5,Merilar Rendas,The journal of Merilar Rendas,0
Midden Incident Report,5,,,0
Miner's Journal,5,Hadrir,,0
A Minor Maze,8,,A brief history of Labyrinthian,0
Minorne,5,Moric Sidrey,,0
The Mirror,50,Berdier Wreans,About a skilled fighter's showdown with his greatest enemy,1
Mixed Unit Tactics,5,Codus Callonus,A book about the strategies of the Khajiit during the Five Years War,0
The Monomyth,8,,A theological book containing the common creation myths,0
Mysterious Akavir,5,,Information about the continent Akavir,0
"Mystery of Talara, v 1",3,Mera Llykith,Part one of the story of Princess Talara,0
"Mystery of Talara, v 2",55,Mera Llykith,Part two of the story of Princess Talara,1
"Mystery of Talara, Part 4",60,Mera Llykith,Part four of the story of Princess Talara,1
"Mystery of Talara, v3",55,Mera Llykith,Part three of the story of Princess Talara,1
"Mystery of Talara, v5",11,Mera Llykith,Part five of the story of Princess Talara,0
